1000,0,164
2000,0,280
3000,0,441
4000,0,603
5000,0,778
6000,0,893
7000,0,1047
8000,1,1078
9000,3,1160
10000,3,1160
11000,3,1265
1000,0,206
2000,0,332
3000,0,502
4000,0,670
5000,0,809
6000,0,968
7000,0,1143
8000,0,1322
9000,0,1436
10000,1,1459
